ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-05-15,6889.032081264001,6742.160274382083,6743.027705603952,6889.032081264001,6889.032081264001,-146.4360237186038,-146.4360237186038,-146.4360237186038,-146.4360237186038,-146.4360237186038,-146.4360237186038,0.0,0.0,0.0,6742.596057545397
2020-05-16,6829.762984219856,6815.76169217654,6816.628486626076,6829.762984219856,6829.762984219856,-13.56304752653277,-13.56304752653277,-13.56304752653277,-13.56304752653277,-13.56304752653277,-13.56304752653277,0.0,0.0,0.0,6816.199936693323
2020-05-17,6706.9643416138915,6694.587236800348,6695.446551311176,6706.9643416138915,6706.9643416138915,-11.95733936751169,-11.95733936751169,-11.95733936751169,-11.95733936751169,-11.95733936751169,-11.95733936751169,0.0,0.0,0.0,6695.00700224638
2020-05-18,6685.617468622473,6788.739288341586,6789.594378832348,6685.617468622473,6685.617468622473,103.57806290584065,103.57806290584065,103.57806290584065,103.57806290584065,103.57806290584065,103.57806290584065,0.0,0.0,0.0,6789.195531528314
2020-05-19,6667.59742519847,6807.692706530816,6808.5428837609015,6667.59742519847,6667.59742519847,140.50336226501284,140.50336226501284,140.50336226501284,140.50336226501284,140.50336226501284,140.50336226501284,0.0,0.0,0.0,6808.100787463482
2020-05-20,6740.397864457375,6746.682013646761,6747.502852884545,6740.397864457375,6740.397864457375,6.704144509967284,6.704144509967284,6.704144509967284,6.704144509967284,6.704144509967284,6.704144509967284,0.0,0.0,0.0,6747.102008967343
2020-05-21,6922.027063470099,6842.795682418392,6843.615777736041,6922.027063470099,6922.027063470099,-78.82915906877592,-78.82915906877592,-78.82915906877592,-78.82915906877592,-78.82915906877592,-78.82915906877592,0.0,0.0,0.0,6843.197904401323
2020-05-22,7280.83372787446,7133.981085662221,7134.822080992759,7280.83372787446,7280.83372787446,-146.43602371856593,-146.43602371856593,-146.43602371856593,-146.43602371856593,-146.43602371856593,-146.43602371856593,0.0,0.0,0.0,7134.397704155895
2020-05-23,7320.068199596455,7306.070946432368,7306.884647835409,7320.068199596455,7320.068199596455,-13.563047526414135,-13.563047526414135,-13.563047526414135,-13.563047526414135,-13.563047526414135,-13.563047526414135,0.0,0.0,0.0,7306.505152070041
2020-05-24,7361.550400351005,7349.129381199661,7350.004793815753,7361.550400351005,7361.550400351005,-11.957339367685208,-11.957339367685208,-11.957339367685208,-11.957339367685208,-11.957339367685208,-11.957339367685208,0.0,0.0,0.0,7349.593060983319
